date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2023-05-28,0,0,0,0,0,1,Manchester City,0,600880,0,Aaron Hickey,2022,0,71,DR,18574,0,Brentford,0,0
2023-05-20,0,1,0,0.3664742708206177,0.3043600916862488,1,Brentford,0,597824,1,Aaron Hickey,2022,3,90,DR,18569,0,Tottenham,0.062114182859659195,0
2023-05-14,0.05836081504821777,2,0,0.24731148779392242,0.12914429605007172,2,West Ham,0.05836081504821777,596893,0,Aaron Hickey,2022,0,89,DR,18554,1,Brentford,0.17196448147296906,0
2023-05-06,0,1,0,0.04557960107922554,0.04557960107922554,1,Brentford,0,594961,0,Aaron Hickey,2022,0,90,DR,18545,0,Liverpool,0,0
2023-04-29,0.01164855994284153,0,0,0.07653263211250305,0,2,Nottingham Forest,0.01164855994284153,592387,0,Aaron Hickey,2022,1,90,DR,18534,1,Brentford,0.06488406658172607,0
2023-04-26,0,0,0,0,0,0,Brentford,0,591676,0,Aaron Hickey,2022,2,1,Sub,18529,0,Chelsea,0,0
2023-04-22,0.06534985452890396,0,0,0.0916142389178276,0,1,Aston Villa,0.06534985452890396,590171,0,Aaron Hickey,2022,1,90,DR,18514,2,Brentford,0.0916142389178276,0
2023-04-15,0,0,0,0.036854300647974014,0,2,Brentford,0,588406,0,Aaron Hickey,2022,0,76,DR,18511,0,Wolverhampton Wanderers,0.036854300647974014,0
2023-04-08,0,0,0,0,0,1,Newcastle United,0,586656,0,Aaron Hickey,2022,2,77,DR,18493,0,Brentford,0,0
2023-04-05,0.015111099928617477,0,0,0.041063301265239716,0,1,Brentford,0.015111099928617477,586153,0,Aaron Hickey,2022,0,13,Sub,18448,1,Manchester United,0.02595219947397709,0
2023-04-01,0,0,0,0,0,3,Brentford,0,584747,0,Aaron Hickey,2022,3,90,DR,18484,0,Brighton,0,0
2023-03-18,0,0,0,0,0,1,Leicester,0,583014,0,Aaron Hickey,2022,1,90,DR,18474,0,Brentford,0,0
2023-03-15,0,0,0,0,0,0,Brentford,0,582501,0,Aaron Hickey,2022,2,90,DR,18265,0,Southampton,0,0
2023-03-11,0,1,0,0.9615809917449951,0.11761400103569031,1,Brentford,0,581212,0,Aaron Hickey,2022,0,78,DR,18464,0,Everton,0.9615809917449951,0
2023-03-06,0.016307899728417397,0,0,0,0,3,Fulham,0.016307899728417397,580701,0,Aaron Hickey,2022,2,90,DR,18454,1,Brentford,0,0
2023-02-18,0.03639090061187744,0,0,0.03639090061187744,0,1,Crystal Palace,0.03639090061187744,576445,0,Aaron Hickey,2022,1,78,DR,18433,1,Brentford,0,0
2023-02-04,0.03581250086426735,0,0,0,0,3,Southampton,0.03581250086426735,573214,0,Aaron Hickey,2022,0,64,DR,18413,1,Brentford,0,0
2022-10-08,0,0,0,0,0,5,Brentford,0,554106,0,Aaron Hickey,2022,1,85,DMR,18299,0,Newcastle United,0,0
2022-10-01,0,0,0,0.0706804022192955,0,0,Brentford,0,552418,0,Aaron Hickey,2022,0,25,Sub,18283,0,Bournemouth,0.0706804022192955,0
2022-09-18,0,0,0,0.39997100830078125,0,0,Arsenal,0,551041,0,Aaron Hickey,2022,3,90,DMR,18280,0,Brentford,0.39997100830078125,0
2022-09-03,0,0,0,0,0,5,Leeds,0,547214,0,Aaron Hickey,2022,2,90,DR,18257,0,Brentford,0,0
2022-08-30,0,0,0,0.027067700400948524,0,1,Brentford,0,545868,0,Aaron Hickey,2022,1,80,DR,18243,0,Crystal Palace,0.027067700400948524,0
2022-08-27,0.03523319959640503,1,0,0.14877599477767944,0.02542470023036003,1,Everton,0.03523319959640503,544520,0,Aaron Hickey,2022,1,90,DR,18233,2,Brentford,0.08811850100755692,0
2022-08-20,0,0,0,0,0,3,Brentford,0,542411,0,Aaron Hickey,2022,2,62,DR,18225,0,Fulham,0,0
2022-08-13,0.04249810054898262,0,0,0,0,4,Manchester United,0.04249810054898262,540794,0,Aaron Hickey,2022,0,84,DR,18218,1,Brentford,0,0
2022-08-07,0,0,0,0,0,2,Brentford,0,539836,0,Aaron Hickey,2022,2,85,DR,18210,0,Leicester,0,0
