date,wins,npxG,deep,ppda_allowed,missed,ppda,h_a,team,pts,xG,xpts,result,npxGD,npxGA,xGA,deep_allowed,scored,loses,draws,season
2022-08-06 16:30:00,1,1.1619800000000000128608235172578133642673492431640625,7,"{att:264,def:22}",0,"{att:161,def:26}",a,Chelsea,3,1.9231499999999999150901430766680277884006500244140625,2.476599999999999912603243501507677137851715087890625,w,0.61999700000000002031441681538126431405544281005859375,0.54198299999999999254640670187654905021190643310546875,0.54198299999999999254640670187654905021190643310546875,3,1,0,0,2022-23
2022-08-14 15:30:00,0,1.8394500000000000294875235340441577136516571044921875,12,"{att:258,def:21}",2,"{att:193,def:29}",h,Chelsea,1,1.8394500000000000294875235340441577136516571044921875,1.5540000000000000479616346638067625463008880615234375,d,0.25236999999999998323119143606163561344146728515625,1.5870800000000000462563320979825221002101898193359375,1.5870800000000000462563320979825221002101898193359375,2,2,0,1,2022-23
2022-08-21 13:00:00,0,0.69249199999999999644018089384189806878566741943359375,7,"{att:274,def:32}",3,"{att:139,def:30}",a,Chelsea,0,0.69249199999999999644018089384189806878566741943359375,0.224299999999999999378275106209912337362766265869140625,l,-1.5172179999999997335180523805320262908935546875,2.209709999999999840980535736889578402042388916015625,2.209709999999999840980535736889578402042388916015625,1,0,1,0,2022-23
2022-08-27 14:00:00,1,1.7491600000000000481037432109587825834751129150390625,3,"{att:258,def:12}",1,"{att:281,def:25}",h,Chelsea,3,1.7491600000000000481037432109587825834751129150390625,1.2500999999999999889865875957184471189975738525390625,w,-0.211069999999999868833810978685505688190460205078125,1.9602299999999999169375541896442882716655731201171875,1.9602299999999999169375541896442882716655731201171875,10,2,0,0,2022-23
2022-08-30 18:45:00,0,1.5046999999999999264588268488296307623386383056640625,7,"{att:291,def:24}",2,"{att:92,def:27}",a,Chelsea,0,1.5046999999999999264588268488296307623386383056640625,1.4181000000000001382005621053394861519336700439453125,l,0.06383999999999989682919476763345301151275634765625,1.4408600000000000296296320811961777508258819580078125,1.4408600000000000296296320811961777508258819580078125,3,1,1,0,2022-23
2022-09-03 14:00:00,1,0.7073329999999999895266000748961232602596282958984375,4,"{att:327,def:14}",1,"{att:164,def:17}",h,Chelsea,3,0.7073329999999999895266000748961232602596282958984375,0.58950000000000002398081733190338127315044403076171875,w,-0.7122669999999999834727759662200696766376495361328125,1.41959999999999997299937604111619293689727783203125,1.41959999999999997299937604111619293689727783203125,1,2,0,0,2022-23
2022-10-01 14:00:00,1,1.2550600000000000644462261334410868585109710693359375,12,"{att:357,def:21}",1,"{att:203,def:26}",a,Chelsea,3,1.2550600000000000644462261334410868585109710693359375,1.8501000000000000778044295657309703528881072998046875,w,0.5451900000000000634514663033769465982913970947265625,0.709870000000000000994759830064140260219573974609375,0.709870000000000000994759830064140260219573974609375,2,2,0,0,2022-23
2022-10-08 14:00:00,1,2.430919999999999969730879456619732081890106201171875,11,"{att:313,def:8}",0,"{att:271,def:24}",h,Chelsea,3,2.430919999999999969730879456619732081890106201171875,2.492299999999999737809730504523031413555145263671875,w,1.682471000000000049823256631498225033283233642578125,0.74844900000000003092992528763716109097003936767578125,0.74844900000000003092992528763716109097003936767578125,4,3,0,0,2022-23
2022-10-16 13:00:00,1,1.236429999999999918003368293284438550472259521484375,5,"{att:379,def:27}",0,"{att:203,def:15}",a,Chelsea,3,1.236429999999999918003368293284438550472259521484375,0.57700000000000006838973831690964289009571075439453125,w,-1.208990000000000009094947017729282379150390625,2.445419999999999927098315311013720929622650146484375,2.445419999999999927098315311013720929622650146484375,6,2,0,0,2022-23
2022-10-19 18:30:00,0,0.55740500000000003932854042432154528796672821044921875,14,"{att:284,def:17}",0,"{att:147,def:14}",a,Chelsea,1,0.55740500000000003932854042432154528796672821044921875,0.55369999999999996997956941413576714694499969482421875,d,-0.89487499999999997601918266809661872684955596923828125,1.4522800000000000153477230924181640148162841796875,1.4522800000000000153477230924181640148162841796875,7,0,0,1,2022-23
2022-10-22 15:30:00,0,0.4412059999999999870823330638813786208629608154296875,3,"{att:212,def:13}",1,"{att:240,def:15}",h,Chelsea,1,1.2023800000000000043343106881366111338138580322265625,1.86240000000000005542233338928781449794769287109375,d,-0.28972900000000001430322527085081674158573150634765625,0.73093500000000000138555833473219536244869232177734375,0.73093500000000000138555833473219536244869232177734375,8,1,0,1,2022-23
2022-10-29 14:00:00,0,1.0755399999999999405275730168796144425868988037109375,8,"{att:295,def:13}",4,"{att:200,def:16}",a,Chelsea,0,1.0755399999999999405275730168796144425868988037109375,0.295999999999999985345056074947933666408061981201171875,l,-1.8054599999999998427568925762898288667201995849609375,2.880999999999999783284465593169443309307098388671875,2.880999999999999783284465593169443309307098388671875,5,1,1,0,2022-23
2022-11-06 12:00:00,0,0.278814999999999979518605641715112142264842987060546875,5,"{att:185,def:31}",1,"{att:248,def:29}",h,Chelsea,0,0.278814999999999979518605641715112142264842987060546875,0.1101999999999999924060745115639292635023593902587890625,l,-2.099645000000000205631067728972993791103363037109375,2.378460000000000018616219676914624869823455810546875,2.378460000000000018616219676914624869823455810546875,3,0,1,0,2022-23
2022-11-12 17:30:00,0,0.359105000000000007531752999057061970233917236328125,2,"{att:297,def:35}",1,"{att:235,def:22}",a,Chelsea,0,0.359105000000000007531752999057061970233917236328125,0.461000000000000020872192862952942959964275360107421875,l,-1.000995000000000079154460763675160706043243408203125,1.36010000000000008668621376273222267627716064453125,1.36010000000000008668621376273222267627716064453125,7,0,1,0,2022-23
2022-12-27 17:30:00,1,1.91378000000000003666400516522116959095001220703125,7,"{att:367,def:24}",0,"{att:178,def:17}",h,Chelsea,3,1.91378000000000003666400516522116959095001220703125,2.499099999999999877076106713502667844295501708984375,w,1.470709999999999961772800816106610000133514404296875,0.443070000000000019380053117856732569634914398193359375,0.443070000000000019380053117856732569634914398193359375,4,2,0,0,2022-23
