date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2021-05-23,0,0,0,0.34599199891090393,0,3,West Bromwich Albion,0,473311,0,Liam Cooper,2020,1,90,DC,14808,0,Leeds,0.34599199891090393,0
2021-05-18,0,0,0,0.6837310194969177,0,0,Leeds,0,472336,0,Liam Cooper,2020,2,90,DC,14802,0,Southampton,0.6837310194969177,0
2021-04-10,0,0,0,0.06275539845228195,0,1,Leeds,0,460950,0,Liam Cooper,2020,2,45,DC,14740,0,Manchester City,0.06275539845228195,0
2021-04-03,0,0,0,0,0,2,Sheffield United,0,459647,0,Liam Cooper,2020,1,90,DC,14729,0,Leeds,0,0
2021-03-08,0,0,0,0.40215200185775757,0,2,Leeds,0,455621,0,Liam Cooper,2020,0,90,DC,14704,0,West Ham,0.40215200185775757,0
2021-02-27,0,0,0,0.07647839933633804,0,0,Aston Villa,0,452501,0,Liam Cooper,2020,1,90,DC,14691,0,Leeds,0.07647839933633804,0
2021-02-23,0.08779170364141464,0,0,0.093961700797081,0,3,Southampton,0.08779170364141464,451749,0,Liam Cooper,2020,0,90,DC,14608,1,Leeds,0.093961700797081,0
2021-02-19,1.4697099924087524,0,0,0,0,1,Leeds,1.4697099924087524,450389,0,Liam Cooper,2020,0,90,DC,14684,5,Wolverhampton Wanderers,0,0
2021-02-14,0,0,0,0.5336059927940369,0,4,Leeds,0,449802,0,Liam Cooper,2020,2,90,DC,14665,0,Arsenal,0.5336059927940369,0
2021-02-08,0.018494900315999985,0,0,0.1403149962425232,0,2,Crystal Palace,0.018494900315999985,448676,0,Liam Cooper,2020,0,90,DC,14658,1,Leeds,0.1403149962425232,0
2021-02-03,0,0,0,0.021684100851416588,0,1,Everton,0,447007,0,Liam Cooper,2020,2,90,DC,14648,0,Leeds,0.021684100851416588,0
2021-01-31,0.07952310144901276,0,0,0,0,1,Leeds,0.07952310144901276,446128,0,Liam Cooper,2020,3,90,DC,14643,1,Leicester,0,0
2021-01-26,0,0,0,0.05549909919500351,0,1,Leeds,0,444967,0,Liam Cooper,2020,2,90,DC,14631,0,Newcastle United,0.05549909919500351,0
2021-01-16,0.01288679987192154,0,0,0.029761699959635735,0,0,Brighton,0.01288679987192154,442302,0,Liam Cooper,2020,1,90,DC,14618,1,Leeds,0.029761699959635735,0
2020-12-20,0.10449600219726562,0,1,0.4117009937763214,0,6,Leeds,0.10449600219726562,436862,0,Liam Cooper,2020,2,74,DC,14570,1,Manchester United,0.4117009937763214,1
2020-12-16,0.04652230069041252,0,0,0.22551700472831726,0,5,Newcastle United,0.04652230069041252,434643,0,Liam Cooper,2020,2,90,DC,14558,1,Leeds,0.22551700472831726,0
2020-12-11,0.025349799543619156,0,0,0.07047340273857117,0,1,West Ham,0.025349799543619156,432671,0,Liam Cooper,2020,2,90,DC,14548,1,Leeds,0.07047340273857117,0
2020-12-05,0,0,0,0.6146460175514221,0,3,Leeds,0,431619,0,Liam Cooper,2020,1,90,DC,14538,0,Chelsea,0.6146460175514221,0
2020-11-28,0,0,0,0.18338899314403534,0,0,Leeds,0,429864,0,Liam Cooper,2020,1,90,DC,14531,0,Everton,0.18338899314403534,0
2020-11-22,0.0632345974445343,0,0,0.5156819820404053,0,0,Arsenal,0.0632345974445343,428823,0,Liam Cooper,2020,0,90,DC,14518,1,Leeds,0.5156819820404053,0
2020-11-07,0.0707663968205452,0,0,0.28772398829460144,0,4,Leeds,0.0707663968205452,426327,0,Liam Cooper,2020,1,90,DC,14508,1,Crystal Palace,0.28772398829460144,0
2020-11-02,0,0,0,1.0498600006103516,0,1,Leicester,0,425721,0,Liam Cooper,2020,4,90,DC,14498,0,Leeds,1.0498600006103516,0
2020-10-03,0,0,0,0.9681159853935242,0,1,Manchester City,0,419635,0,Liam Cooper,2020,1,90,DC,14469,0,Leeds,0.9681159853935242,0
2020-09-27,0.11573299765586853,0,0,0.4375700056552887,0,0,Leeds,0.11573299765586853,417868,0,Liam Cooper,2020,1,90,DC,14110,1,Sheffield United,0.4375700056552887,0
2020-09-19,0,0,0,0.16930000483989716,0,4,Fulham,0,415782,0,Liam Cooper,2020,3,90,DC,14097,0,Leeds,0.16930000483989716,0
