date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-03-31,0.016115499660372734,0,0,0.016115499660372734,0,3,Southampton,0.016115499660372734,226842,0,Michail Antonio,2017,0,8,AMC,7434,1,West Ham,0,0
2018-03-10,0.048738401383161545,3,0,0.17110200226306915,0.042926300317049026,0,Burnley,0.048738401383161545,222326,0,Michail Antonio,2017,3,90,DML,7418,2,West Ham,0.09357350319623947,0
2018-03-03,0.12865999341011047,0,1,0.35132598876953125,0,4,West Ham,0.12865999341011047,220993,0,Michail Antonio,2017,1,34,Sub,7406,2,Swansea,0.2974269986152649,1
2018-02-24,0.0998103991150856,0,1,0.0998103991150856,0,4,West Ham,0.0998103991150856,219177,0,Michail Antonio,2017,1,30,Sub,7395,1,Liverpool,0,1
2018-02-10,0.047144800424575806,1,0,0.4875510036945343,0.4404059946537018,2,Watford,0.047144800424575806,215302,1,Michail Antonio,2017,0,90,DML,7388,2,West Ham,0,0
2018-02-03,0,0,0,0,0,3,West Ham,0,214859,0,Michail Antonio,2017,1,21,Sub,7371,0,Brighton,0,0
2017-12-23,0.40752100944519043,1,0,0.3842630088329315,0.04186810180544853,2,Newcastle United,0.40752100944519043,205369,0,Michail Antonio,2017,3,61,AMC,7300,4,West Ham,0.016728699207305908,0
2017-12-16,0.013522099703550339,0,0,0.12555299699306488,0,0,West Ham,0.013522099703550339,202720,0,Michail Antonio,2017,3,71,FW,7297,1,Stoke,0.11202999949455261,0
2017-12-13,0.014859099872410297,1,0,0.05196959897875786,0.037110500037670135,0,Arsenal,0.014859099872410297,202762,0,Michail Antonio,2017,0,83,FW,7286,1,West Ham,0,0
2017-12-09,0.06569749861955643,0,0,0.17975500226020813,0,1,Chelsea,0.06569749861955643,199024,0,Michail Antonio,2017,0,81,FW,7269,1,West Ham,0.11405699700117111,0
2017-12-03,0.18397599458694458,0,0,0.10476399958133698,0,2,West Ham,0.18397599458694458,178623,0,Michail Antonio,2017,1,90,FW,7262,2,Manchester City,0.06630270183086395,0
2017-11-29,0,0,0,0,0,4,West Ham,0,179228,0,Michail Antonio,2017,0,26,Sub,7256,0,Everton,0,0
2017-10-28,0.017598599195480347,0,0,0.017598599195480347,0,2,West Ham,0.017598599195480347,177772,0,Michail Antonio,2017,2,24,Sub,7213,1,Crystal Palace,0,0
2017-10-20,0.011217700317502022,0,0,0.16847699880599976,0,0,Brighton,0.011217700317502022,177453,0,Michail Antonio,2017,3,90,AMR,7208,1,West Ham,0.157259002327919,0
2017-10-14,0.6732450127601624,0,1,0.6948990225791931,0,1,West Ham,0.6732450127601624,178345,0,Michail Antonio,2017,1,90,MR,7190,4,Burnley,0.021654099225997925,1
2017-09-30,0.03287839889526367,1,0,0.24896100163459778,0.09977199882268906,1,Swansea,0.03287839889526367,178275,0,Michail Antonio,2017,0,90,MR,7183,1,West Ham,0.11631099879741669,0
2017-09-23,0,1,0,0.015484999865293503,0.015484999865293503,2,Tottenham,0,177781,0,Michail Antonio,2017,3,27,FWR,7169,0,West Ham,0,0
2017-09-16,0.027784200385212898,1,0,0.0610991008579731,0.03331489861011505,0,West Ham,0.027784200385212898,176725,0,Michail Antonio,2017,0,90,FWR,7165,2,West Bromwich Albion,0.03331489861011505,0
2017-09-11,0.05522159859538078,1,0,0.06580600142478943,0.010584400035440922,2,Huddersfield,0.05522159859538078,177535,0,Michail Antonio,2017,0,90,FWR,7158,3,West Ham,0,0
2017-08-26,0.020341400057077408,2,0,0.05111119896173477,0.030769800767302513,3,West Ham,0.020341400057077408,176503,0,Michail Antonio,2017,0,90,AMR,7142,1,Newcastle United,0,0
2017-08-19,0.14478699862957,2,0,0.16088099777698517,0.16848400235176086,3,West Ham,0.14478699862957,179827,0,Michail Antonio,2017,2,71,AMR,7130,4,Southampton,0.11919300258159637,0
