date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2018-05-13,0.5598180294036865,1,1,0.7008810043334961,0.1074260026216507,1,Bournemouth,0.5598180294036865,240156,0,Chris Wood,2017,2,62,FW,7492,1,Burnley,0.033636998385190964,1
2018-04-28,0.20638999342918396,0,0,0.20307299494743347,0,0,Brighton,0.20638999342918396,235719,0,Chris Wood,2017,0,68,FW,7469,2,Burnley,0.08509189635515213,0
2018-04-22,0.15921199321746826,0,0,0.2032420039176941,0,1,Burnley,0.15921199321746826,234786,0,Chris Wood,2017,1,90,FW,7466,2,Stoke,0.04403049871325493,0
2018-04-19,0.05014039948582649,0,0,0.07331079989671707,0,1,Chelsea,0.05014039948582649,233856,0,Chris Wood,2017,2,73,FW,7420,1,Burnley,0.02317040041089058,0
2018-04-14,0.6290130019187927,1,1,0.6447010040283203,0.015687499195337296,2,Leicester,0.6290130019187927,232020,0,Chris Wood,2017,1,77,FW,7449,3,Burnley,0.015687499195337296,1
2018-04-07,0.10998199880123138,0,0,0.10998199880123138,0,1,Burnley,0.10998199880123138,230481,0,Chris Wood,2017,2,90,FW,7447,1,Watford,0,0
2018-03-31,1.1448299884796143,0,1,1.102560043334961,0,1,Burnley,1.1448299884796143,226967,0,Chris Wood,2017,2,78,FW,7438,4,West Bromwich Albion,0,1
2018-03-10,1.2200499773025513,2,2,1.373960018157959,0.1539050042629242,0,Burnley,1.2200499773025513,222344,1,Chris Wood,2017,3,25,Sub,7418,2,West Ham,0,2
2018-03-03,1.0851800441741943,0,1,0.12973999977111816,0,2,Everton,1.0851800441741943,220701,0,Chris Wood,2017,1,42,Sub,7400,4,Burnley,0.03606079891324043,1
2017-12-23,0,0,0,0,0,0,Tottenham,0,202955,0,Chris Wood,2017,3,34,FW,7304,0,Burnley,0,0
2017-12-16,0.4217180013656616,0,0,0.5422300100326538,0,0,Burnley,0.4217180013656616,205493,0,Chris Wood,2017,0,82,FW,7291,2,Brighton,0.12051200121641159,0
2017-12-12,0,1,0,0.07039940357208252,0.07039940357208252,1,Stoke,0,202623,0,Chris Wood,2017,0,84,FW,7279,0,Burnley,0,0
2017-12-09,0.04825219884514809,0,0,0.1222900003194809,0,1,Watford,0.04825219884514809,198774,0,Chris Wood,2017,0,90,FW,7272,2,Burnley,0.07403810322284698,0
2017-12-02,0.08844110369682312,1,0,0.1340470016002655,0.03144019842147827,1,Burnley,0.08844110369682312,178543,0,Chris Wood,2017,0,78,FW,7261,1,Leicester,0.014165700413286686,0
2017-11-29,0.7404199838638306,2,1,0.7405009865760803,0.14722999930381775,1,Burnley,0.7404199838638306,178762,0,Chris Wood,2017,2,90,FW,7253,3,Bournemouth,0.041566699743270874,1
2017-11-26,0,0,0,0,0,0,Arsenal,0,179107,0,Chris Wood,2017,1,10,Sub,7248,0,Burnley,0,0
2017-11-04,0,0,0,0.01912439987063408,0,0,Burnley,0,179173,0,Chris Wood,2017,1,65,FW,7223,0,Southampton,0.01912439987063408,0
2017-10-21,0,0,0,0,0,3,Burnley,0,177278,0,Chris Wood,2017,0,19,FW,7202,0,Manchester City,0,0
2017-10-14,0.15827399492263794,2,1,0.24188700318336487,0.05153699964284897,1,West Ham,0.15827399492263794,178336,0,Chris Wood,2017,1,90,FW,7190,3,Burnley,0.03207610175013542,1
2017-10-01,0.17112700641155243,1,0,0.2676129937171936,0.025082899257540703,0,Burnley,0.17112700641155243,178018,0,Chris Wood,2017,1,90,FW,7187,2,Everton,0.1044749990105629,0
2017-09-23,0.3366580009460449,0,0,0.3366580009460449,0,0,Huddersfield,0.3366580009460449,176931,0,Chris Wood,2017,0,90,FW,7174,2,Burnley,0.30998900532722473,0
2017-09-16,0,0,0,0,0,1,Burnley,0,176422,0,Chris Wood,2017,1,90,FW,7162,0,Liverpool,0,0
2017-09-10,0.30462101101875305,0,1,0.3733220100402832,0,1,Crystal Palace,0.30462101101875305,176876,0,Chris Wood,2017,0,90,FW,7156,2,Burnley,0.06870110332965851,1
2017-08-27,0.2053699940443039,0,1,0.2053699940443039,0,1,Burnley,0.2053699940443039,176562,0,Chris Wood,2017,1,32,Sub,7147,3,Tottenham,0,1
