date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2020-07-26,0.0,0,0,0.0,1,Liverpool,411390,0,Allan Saint-Maximin,2019,3,50,FW,12016,0.0,0.0,0,Newcastle United,0.0,0
2020-07-20,0.0,0,0,0.051350899040699005,0,Newcastle United,410358,0,Allan Saint-Maximin,2019,0,78,FW,12005,0.0,0.051350899040699005,0,Brighton,0.0,0
2020-07-15,0.12680399417877197,3,0,0.3701600134372711,1,Tottenham,408691,0,Allan Saint-Maximin,2019,3,90,MR,12000,0.13706399500370026,0.16705399751663208,6,Newcastle United,0.12680399417877197,0
2020-07-11,0.28434500098228455,1,0,0.42198801040649414,2,Newcastle United,407373,0,Allan Saint-Maximin,2019,1,90,MR,11991,0.01445349957793951,0.1376429945230484,1,Watford,0.28434500098228455,0
2020-07-05,0.029705500230193138,1,0,0.7380660176277161,2,West Ham,405610,0,Allan Saint-Maximin,2019,2,73,AMR,11968,0.018077600747346878,0.7032870054244995,2,Newcastle United,0.029705500230193138,0
2020-07-01,0.03402779996395111,3,0,0.9626880288124084,1,Newcastle United,404396,3,Allan Saint-Maximin,2019,4,64,AMR,11955,0.8478959798812866,0.5171229839324951,2,Bournemouth,0.03402779996395111,0
2020-06-24,0.12042199820280075,1,0,0.2959280014038086,1,Aston Villa,402403,0,Allan Saint-Maximin,2019,1,90,ML,11949,0.020832400768995285,0.1546739935874939,3,Newcastle United,0.12042199820280075,0
2020-06-21,0.301813006401062,1,1,1.8798199892044067,3,Sheffield United,401609,0,Allan Saint-Maximin,2019,0,80,ML,11938,0.4231779873371124,1.154829978942871,1,Newcastle United,0.301813006401062,1
2020-03-07,0.13256099820137024,2,1,0.6648460030555725,0,Newcastle United,387719,0,Allan Saint-Maximin,2019,1,90,ML,11930,0.5191619992256165,0.013123000040650368,1,Southampton,0.13256099820137024,1
2020-02-29,0.02344360016286373,0,0,0.15874600410461426,0,Burnley,387466,0,Allan Saint-Maximin,2019,0,11,Sub,11918,0.0,0.15874600410461426,1,Newcastle United,0.02344360016286373,0
2020-02-22,0.04813069850206375,2,0,0.07609769701957703,1,Newcastle United,387202,0,Allan Saint-Maximin,2019,0,90,ML,11905,0.04346219822764397,0.01888429932296276,3,Crystal Palace,0.04813069850206375,0
2020-02-16,0.09883339703083038,3,0,0.5301859974861145,4,Newcastle United,387065,0,Allan Saint-Maximin,2019,0,90,ML,11893,0.8849499821662903,0.43135198950767517,2,Arsenal,0.09883339703083038,0
2020-02-01,0.1516910046339035,1,0,0.18056799471378326,0,Norwich,386614,0,Allan Saint-Maximin,2019,0,81,ML,11889,0.02887750044465065,0.0,5,Newcastle United,0.1516910046339035,0
2020-01-18,0.02118849940598011,2,0,0.09877959638834,1,Chelsea,386207,1,Allan Saint-Maximin,2019,0,90,ML,11868,0.4166789948940277,0.0,1,Newcastle United,0.02118849940598011,0
2019-12-08,0.022747399285435677,1,0,0.058694999665021896,2,Southampton,369031,0,Allan Saint-Maximin,2019,1,90,ML,11798,0.020383499562740326,0.03594759851694107,1,Newcastle United,0.022747399285435677,0
2019-12-05,0.06311219930648804,1,1,0.41519099473953247,0,Newcastle United,367825,0,Allan Saint-Maximin,2019,2,83,ML,11786,0.03532949835062027,0.3167490065097809,1,Sheffield United,0.06311219930648804,1
2019-11-30,0.01947389915585518,0,0,0.08421020209789276,2,Manchester City,365965,0,Allan Saint-Maximin,2019,2,82,ML,11777,0.0,0.06473629921674728,1,Newcastle United,0.01947389915585518,0
2019-11-25,0.0624644011259079,0,0,0.0624644011259079,2,Newcastle United,365814,0,Allan Saint-Maximin,2019,0,90,ML,11764,0.0,0.0,2,Aston Villa,0.0624644011259079,0
2019-11-09,0.31843098998069763,3,0,0.5855550169944763,2,Bournemouth,363198,0,Allan Saint-Maximin,2019,1,90,ML,11756,0.09514900296926498,0.1719750016927719,2,Newcastle United,0.31843098998069763,0
2019-11-02,0.8536880016326904,1,0,1.3410899639129639,2,Newcastle United,361631,0,Allan Saint-Maximin,2019,3,79,ML,11752,0.4874019920825958,0.0,3,West Ham,0.8536880016326904,0
2019-10-27,0.1235010027885437,1,0,0.19688600301742554,1,Wolverhampton Wanderers,360149,0,Allan Saint-Maximin,2019,1,90,ML,11738,0.018308399245142937,0.055076099932193756,3,Newcastle United,0.1235010027885437,0
2019-10-19,0.01880040019750595,3,0,0.15650400519371033,1,Newcastle United,357803,0,Allan Saint-Maximin,2019,0,87,ML,11725,0.13770300149917603,0.03883549943566322,1,Chelsea,0.01880040019750595,0
2019-10-06,0.039244599640369415,2,0,0.13338600099086761,1,Manchester United,357148,0,Allan Saint-Maximin,2019,0,85,ML,11721,0.07313480228185654,0.043673500418663025,2,Newcastle United,0.039244599640369415,0
2019-09-21,0.022286400198936462,1,0,0.13205599784851074,0,Brighton,352447,0,Allan Saint-Maximin,2019,0,16,Sub,11699,0.10976900160312653,0.0,1,Newcastle United,0.022286400198936462,0
2019-08-25,0.0,0,0,0.0,0,Newcastle United,344725,0,Allan Saint-Maximin,2019,1,16,ML,11672,0.0,0.0,0,Tottenham,0.0,0
2019-08-11,0.025801999494433403,0,0,0.06253620237112045,0,Arsenal,341522,0,Allan Saint-Maximin,2019,1,21,Sub,11650,0.0,0.03673430159687996,1,Newcastle United,0.025801999494433403,0
