date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2021-04-11,0.0,0,0,0.012955100275576115,0,Arsenal,462216,0,Oliver McBurnie,2020,3,19,Sub,14741,0.0,0.012955100275576115,0,Sheffield United,0.0,0
2021-04-03,0.08881650120019913,0,0,0.11622100323438644,2,Sheffield United,459668,0,Oliver McBurnie,2020,1,81,FW,14729,0.0,0.0274043008685112,2,Leeds,0.08881650120019913,0
2021-03-06,0.035443998873233795,0,0,0.14177100360393524,0,Southampton,454646,0,Oliver McBurnie,2020,2,42,Sub,14701,0.0,0.14177100360393524,1,Sheffield United,0.035443998873233795,0
2021-03-03,0.0,0,0,0.0,1,Aston Villa,453795,0,Oliver McBurnie,2020,0,1,Sub,14721,0.0,0.0,0,Sheffield United,0.0,0
2021-02-28,0.2485480010509491,1,0,0.2749280035495758,0,Liverpool,453334,0,Oliver McBurnie,2020,2,90,FW,14694,0.026379700750112534,0.0,1,Sheffield United,0.2485480010509491,0
2021-02-20,0.0,0,0,0.3746170103549957,1,Sheffield United,450991,0,Oliver McBurnie,2020,0,90,FW,14679,0.0,0.3746170103549957,0,Fulham,0.0,0
2021-02-15,0.03992610052227974,0,0,0.03992610052227974,3,Sheffield United,450046,0,Oliver McBurnie,2020,0,25,Sub,14674,0.0,0.0,1,West Ham,0.03992610052227974,0
2021-02-07,0.0,3,0,0.4910750091075897,1,Chelsea,448535,0,Oliver McBurnie,2020,2,90,FW,14662,0.47254499793052673,0.018530000001192093,0,Sheffield United,0.0,0
2021-02-02,0.13330000638961792,2,0,0.34341099858283997,2,West Bromwich Albion,446723,0,Oliver McBurnie,2020,1,42,Sub,14649,0.07270610332489014,0.1572140008211136,1,Sheffield United,0.13330000638961792,0
2021-01-30,0.0,0,0,0.022648099809885025,1,Sheffield United,445648,0,Oliver McBurnie,2020,0,11,Sub,14642,0.0,0.022648099809885025,0,Manchester City,0.0,0
2020-12-26,0.18851199746131897,0,0,0.09459040313959122,0,Everton,438168,0,Oliver McBurnie,2020,1,44,Sub,14582,0.0,0.0,2,Sheffield United,0.18851199746131897,0
2020-12-13,0.0,0,0,0.0,3,Sheffield United,433455,0,Oliver McBurnie,2020,0,50,FW,14551,0.0,0.0,0,Southampton,0.0,0
2020-12-06,0.28029099106788635,0,1,0.08602160215377808,1,Leicester,432033,0,Oliver McBurnie,2020,2,90,FW,14541,0.0,0.0,3,Sheffield United,0.28029099106788635,1
2020-11-28,1.1012300252914429,3,0,1.6212300062179565,1,Sheffield United,429960,0,Oliver McBurnie,2020,0,90,FW,14527,0.18188999593257904,0.9890469908714294,6,West Bromwich Albion,1.1012300252914429,0
2020-11-22,0.483366996049881,1,0,0.537060022354126,0,West Ham,428532,0,Oliver McBurnie,2020,1,90,FW,14522,0.07122989743947983,0.0,4,Sheffield United,0.483366996049881,0
2020-11-07,0.0,0,0,0.05587020143866539,4,Sheffield United,426511,0,Oliver McBurnie,2020,1,25,Sub,14507,0.0,0.05587020143866539,0,Chelsea,0.0,0
2020-10-31,0.0,0,0,0.6386730074882507,0,Manchester City,424231,0,Oliver McBurnie,2020,1,90,FW,14502,0.0,0.6386730074882507,0,Sheffield United,0.0,0
2020-10-24,0.10734699666500092,2,0,0.3039869964122772,2,Sheffield United,423234,0,Oliver McBurnie,2020,1,90,FW,14490,0.1184689998626709,0.07817079871892929,1,Liverpool,0.10734699666500092,0
2020-10-18,0.7258269786834717,1,0,0.8282219767570496,1,Fulham,421671,0,Oliver McBurnie,2020,1,90,FW,14482,0.01737309992313385,0.08502200245857239,4,Sheffield United,0.7258269786834717,0
2020-10-04,0.009414720349013805,0,0,0.009414720349013805,2,Sheffield United,420310,0,Oliver McBurnie,2020,1,33,Sub,14465,0.0,0.0,1,Arsenal,0.009414720349013805,0
2020-09-27,0.0,0,0,0.0,0,Leeds,417863,0,Oliver McBurnie,2020,1,15,Sub,14110,0.0,0.0,0,Sheffield United,0.0,0
2020-09-21,0.0,1,0,0.0,1,Sheffield United,416915,0,Oliver McBurnie,2020,0,18,Sub,14104,0.02669689990580082,0.0,0,Aston Villa,0.0,0
2020-09-14,0.11097099632024765,1,0,0.11460699886083603,0,Wolverhampton Wanderers,415310,0,Oliver McBurnie,2020,2,90,FW,14094,0.06697600334882736,0.0,3,Sheffield United,0.11097099632024765,0
