date,npxG,key_passes,npg,xGChain,xA,h_goals,a_team,xG,roster_id,assists,name,season,a_goals,time,position,id,shots,h_team,xGBuildup,goals
2020-07-26,0,0,0,0,0,2,Wolverhampton Wanderers,0,411278,0,Romain Saïss,2019,0,90,DC,12021,0,Chelsea,0,0
2020-07-15,0.5794119834899902,0,0,0.08602649718523026,0,1,Wolverhampton Wanderers,0.5794119834899902,408640,0,Romain Saïss,2019,1,90,DC,11994,1,Burnley,0.08602649718523026,0
2020-07-12,0,1,0,0.1353909969329834,0.049271199852228165,3,Everton,0,407749,0,Romain Saïss,2019,0,90,DC,11992,0,Wolverhampton Wanderers,0.08611959964036942,0
2020-07-08,0,0,0,0,0,1,Wolverhampton Wanderers,0,406555,0,Romain Saïss,2019,0,90,DC,11980,0,Sheffield United,0,0
2020-07-04,0.07052379846572876,0,0,0.40694600343704224,0,0,Arsenal,0.07052379846572876,405306,0,Romain Saïss,2019,2,90,DC,11972,1,Wolverhampton Wanderers,0.40694600343704224,0
2020-06-27,0,0,0,0.159743994474411,0,0,Wolverhampton Wanderers,0,402923,0,Romain Saïss,2019,1,90,DC,11954,0,Aston Villa,0.159743994474411,0
2020-06-24,0,1,0,0.1294579952955246,0.1294579952955246,1,Bournemouth,0,402366,0,Romain Saïss,2019,0,90,DC,11947,0,Wolverhampton Wanderers,0,0
2020-06-20,0.008880429901182652,0,0,0.8952469825744629,0,0,Wolverhampton Wanderers,0.008880429901182652,401378,0,Romain Saïss,2019,2,90,DC,11934,1,West Ham,0.8863670229911804,0
2020-03-07,0,0,0,0.24306799471378326,0,0,Brighton,0,387727,0,Romain Saïss,2019,0,90,DC,11931,0,Wolverhampton Wanderers,0.24306799471378326,0
2020-03-01,0.04504299908876419,0,0,0.031503401696681976,0,2,Wolverhampton Wanderers,0.04504299908876419,387605,0,Romain Saïss,2019,3,90,DC,11920,1,Tottenham,0.031503401696681976,0
2020-02-23,0.058361899107694626,1,0,0.795943021774292,0.6893309950828552,3,Norwich,0.058361899107694626,387319,1,Romain Saïss,2019,0,90,DC,11912,1,Wolverhampton Wanderers,0.795943021774292,0
2020-02-14,0.09801679849624634,0,0,0.048672500997781754,0,0,Leicester,0.09801679849624634,386934,0,Romain Saïss,2019,0,90,DC,11902,1,Wolverhampton Wanderers,0.048672500997781754,0
2020-02-01,0.536516010761261,0,0,0.05603310093283653,0,0,Wolverhampton Wanderers,0.536516010761261,386785,0,Romain Saïss,2019,0,90,DC,11888,4,Manchester United,0.05603310093283653,0
2020-01-23,0,2,0,0.9516720175743103,0.08086960017681122,1,Liverpool,0,386527,0,Romain Saïss,2019,2,90,DC,11874,0,Wolverhampton Wanderers,0.9223840236663818,0
2020-01-18,0,0,0,0,0,2,Wolverhampton Wanderers,0,386106,0,Romain Saïss,2019,3,90,DC,11870,0,Southampton,0,0
2020-01-11,0,0,0,0.5981379747390747,0,1,Newcastle United,0,385796,0,Romain Saïss,2019,1,90,DC,11853,0,Wolverhampton Wanderers,0.5981379747390747,0
2020-01-01,0,0,0,0.45202401280403137,0,2,Wolverhampton Wanderers,0,385535,0,Romain Saïss,2019,1,90,DC,11852,0,Watford,0.45202401280403137,0
2019-12-29,0.06030229851603508,1,0,0.07633490115404129,0.06673499941825867,1,Wolverhampton Wanderers,0.06030229851603508,372917,0,Romain Saïss,2019,0,27,Sub,11836,2,Liverpool,0.035034600645303726,0
2019-12-27,0.5997750163078308,1,0,0.8288530111312866,0.013024699874222279,3,Manchester City,0.5997750163078308,372645,0,Romain Saïss,2019,2,90,DC,11832,2,Wolverhampton Wanderers,0.8138089776039124,0
2019-12-21,0.3806209862232208,0,1,0.5884770154953003,0,1,Wolverhampton Wanderers,0.3806209862232208,371522,0,Romain Saïss,2019,2,90,DC,11819,1,Norwich,0.5884770154953003,1
2019-12-15,0.01960420049726963,1,0,0.252470999956131,0.027266299352049828,1,Tottenham,0.01960420049726963,370321,0,Romain Saïss,2019,2,90,DC,11812,1,Wolverhampton Wanderers,0.22520500421524048,0
2019-12-08,0.03201580047607422,0,0,0.6303269863128662,0,2,Wolverhampton Wanderers,0.03201580047607422,369229,0,Romain Saïss,2019,2,90,DC,11795,1,Brighton,0.6303269863128662,0
2019-12-04,0.09570900350809097,2,0,0.30312100052833557,0.11273699998855591,2,West Ham,0.09570900350809097,367638,0,Romain Saïss,2019,0,90,DC,11787,2,Wolverhampton Wanderers,0.2806670069694519,0
2019-11-23,0.014838400296866894,0,0,0.18208299577236176,0,1,Wolverhampton Wanderers,0.014838400296866894,364672,0,Romain Saïss,2019,2,90,DC,11765,1,Bournemouth,0.16724400222301483,0
2019-11-10,0,0,0,0.7541580200195312,0,2,Aston Villa,0,363879,0,Romain Saïss,2019,1,90,DC,11760,0,Wolverhampton Wanderers,0.7541580200195312,0
2019-11-02,0,0,0,0.7015619874000549,0,1,Wolverhampton Wanderers,0,361485,0,Romain Saïss,2019,1,90,DC,11743,0,Arsenal,0.7015619874000549,0
2019-10-27,0,2,0,0.25517401099205017,0.06377779692411423,1,Wolverhampton Wanderers,0,360156,0,Romain Saïss,2019,1,90,DC,11738,0,Newcastle United,0.2182520031929016,0
2019-10-06,0,0,0,0,0,0,Wolverhampton Wanderers,0,356847,0,Romain Saïss,2019,2,12,DC,11716,0,Manchester City,0,0
2019-09-28,0,0,0,0.18784700334072113,0,2,Watford,0,354695,0,Romain Saïss,2019,0,90,DC,11705,0,Wolverhampton Wanderers,0.18784700334072113,0
2019-09-22,0,0,0,0.06011800095438957,0,1,Wolverhampton Wanderers,0,353373,0,Romain Saïss,2019,1,74,DC,11697,0,Crystal Palace,0.06011800095438957,0
