date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.03876791521906853,1,0,0.07541318237781525,1,Bournemouth,600995,0,Kieffer Moore,2022,0,22,Sub,18577,0.03664526715874672,0.0,1,Everton,0.03876791521906853,0
2023-05-20,0.32055678963661194,0,0,0.32055678963661194,0,Manchester United,598098,0,Kieffer Moore,2022,1,33,Sub,18562,0.0,0.0,1,Bournemouth,0.32055678963661194,0
2023-05-13,0.0,0,0,0.0,2,Bournemouth,596420,0,Kieffer Moore,2022,0,27,Sub,18556,0.0,0.0,0,Crystal Palace,0.0,0
2023-04-30,0.4396394193172455,0,0,0.4396394193172455,4,Leeds,592929,0,Kieffer Moore,2022,1,21,Sub,18533,0.0,0.0,1,Bournemouth,0.4396394193172455,0
2023-04-27,0.0,0,0,0.0,0,Bournemouth,591890,0,Kieffer Moore,2022,1,1,Sub,18530,0.0,0.0,0,Southampton,0.0,0
2023-04-23,0.3541036546230316,0,0,0.40944424271583557,0,West Ham,590804,0,Kieffer Moore,2022,4,41,Sub,18513,0.0,0.05534057691693306,3,Bournemouth,0.3541036546230316,0
2023-03-18,0.0,0,0,0.0,3,Bournemouth,583070,0,Kieffer Moore,2022,0,1,Sub,18473,0.0,0.0,0,Aston Villa,0.0,0
2023-01-21,0.6250259876251221,0,0,1.2904200553894043,1,Nottingham Forest,570242,0,Kieffer Moore,2022,1,90,FW,18403,0.0,0.6653910279273987,2,Bournemouth,0.6250259876251221,0
2023-01-14,0.14035099744796753,0,0,0.2323160022497177,2,Bournemouth,569044,0,Kieffer Moore,2022,0,90,FW,18393,0.0,0.09196469932794571,3,Brentford,0.14035099744796753,0
2023-01-03,0.0,0,0,0.06647539883852005,3,Bournemouth,567105,0,Kieffer Moore,2022,0,12,Sub,18390,0.0,0.06647539883852005,0,Manchester United,0.0,0
2022-12-31,0.6887519955635071,0,0,0.6701040267944336,0,Crystal Palace,566481,0,Kieffer Moore,2022,2,90,FW,18372,0.0,0.0,2,Bournemouth,0.6887519955635071,0
2022-12-27,0.0,0,0,0.017177199944853783,2,Bournemouth,565679,0,Kieffer Moore,2022,0,89,FW,18365,0.0,0.017177199944853783,0,Chelsea,0.0,0
2022-11-12,0.8073740005493164,0,1,0.2826080024242401,3,Everton,564575,0,Kieffer Moore,2022,0,74,FW,18352,0.0,0.2826080024242401,1,Bournemouth,0.8073740005493164,1
2022-11-05,0.4084230065345764,0,0,0.4084230065345764,4,Bournemouth,561877,0,Kieffer Moore,2022,3,90,FW,18345,0.0,0.0,1,Leeds,0.4084230065345764,0
2022-10-29,0.8002560138702393,0,2,0.8023989796638489,2,Tottenham,560142,0,Kieffer Moore,2022,3,90,FW,18333,0.0,0.01467640046030283,3,Bournemouth,0.8002560138702393,2
2022-10-24,0.0,1,0,0.0,2,Bournemouth,559547,0,Kieffer Moore,2022,0,46,Sub,18330,0.05761659890413284,0.0,0,West Ham,0.0,0
2022-10-19,0.0,0,0,0.0,0,Southampton,557503,0,Kieffer Moore,2022,1,6,Sub,18313,0.0,0.0,0,Bournemouth,0.0,0
2022-10-15,0.0,0,0,0.0,2,Bournemouth,555989,0,Kieffer Moore,2022,2,1,Sub,18304,0.0,0.0,0,Fulham,0.0,0
2022-10-08,0.0,0,0,0.0,2,Leicester,554070,0,Kieffer Moore,2022,1,1,Sub,18293,0.0,0.0,0,Bournemouth,0.0,0
2022-10-01,0.0,1,0,0.09898140281438828,0,Brentford,552401,0,Kieffer Moore,2022,0,76,FW,18283,0.3175710141658783,0.09898140281438828,0,Bournemouth,0.0,0
2022-09-17,0.0,0,0,0.0,1,Bournemouth,550702,0,Kieffer Moore,2022,1,1,Sub,18275,0.0,0.0,0,Newcastle United,0.0,0
2022-09-03,0.0,0,0,0.0,2,Bournemouth,547153,0,Kieffer Moore,2022,3,1,Sub,18254,0.0,0.0,0,Nottingham Forest,0.0,0
2022-08-31,0.0,0,0,0.0,0,Wolverhampton Wanderers,546295,0,Kieffer Moore,2022,0,10,Sub,18248,0.0,0.0,0,Bournemouth,0.0,0
2022-08-27,0.12099099904298782,0,0,0.03960910066962242,9,Bournemouth,544484,0,Kieffer Moore,2022,0,90,FW,18236,0.0,0.0,2,Liverpool,0.12099099904298782,0
2022-08-20,0.05152770131826401,1,0,0.12371300160884857,0,Arsenal,542558,0,Kieffer Moore,2022,3,90,FW,18227,0.0721857026219368,0.0,2,Bournemouth,0.05152770131826401,0
2022-08-13,0.0,1,0,0.0420541986823082,4,Bournemouth,540580,0,Kieffer Moore,2022,0,90,FW,18214,0.0420541986823082,0.0,0,Manchester City,0.0,0
2022-08-06,0.02723810076713562,0,1,0.3490220010280609,2,Aston Villa,539406,0,Kieffer Moore,2022,0,90,FW,18204,0.0,0.3490220010280609,1,Bournemouth,0.02723810076713562,1
