date,x_g,key_passes,npg,x_g_chain,h_goals,a_team,roster_id,assists,name,season,a_goals,time,position,id,x_a,x_g_buildup,shots,h_team,npx_g,goals
2023-05-28,0.0,0,0,0.44942885637283325,4,Liverpool,601095,0,Roméo Lavia,2022,4,65,DMC,18581,0.0,0.44942885637283325,0,Southampton,0.0,0
2023-05-21,0.0,0,0,0.0,3,Southampton,598806,0,Roméo Lavia,2022,1,89,DMC,18563,0.0,0.0,0,Brighton,0.0,0
2023-05-13,0.02532738819718361,0,0,0.0,0,Fulham,596458,0,Roméo Lavia,2022,2,90,DMC,18561,0.0,0.0,1,Southampton,0.02532738819718361,0
2023-05-08,0.015461417846381664,1,0,0.1427774876356125,4,Southampton,595862,0,Roméo Lavia,2022,3,90,DMC,18548,0.0252547487616539,0.12731607258319855,1,Nottingham Forest,0.015461417846381664,0
2023-04-30,0.0,1,0,0.7310359477996826,3,Southampton,592904,0,Roméo Lavia,2022,1,90,MC,18541,0.015072564594447613,0.7159633636474609,0,Newcastle United,0.0,0
2023-04-27,0.03516530245542526,3,0,0.19853593409061432,0,Bournemouth,591866,0,Roméo Lavia,2022,1,90,MC,18530,0.1274486780166626,0.12865960597991943,1,Southampton,0.03516530245542526,0
2023-04-21,0.0,0,0,0.06908123195171356,3,Southampton,589784,0,Roméo Lavia,2022,3,90,MC,18512,0.0,0.06908123195171356,0,Arsenal,0.0,0
2023-04-15,0.014595800079405308,0,0,0.11203700304031372,0,Crystal Palace,588427,0,Roméo Lavia,2022,2,90,MC,18508,0.0,0.09744080156087875,1,Southampton,0.014595800079405308,0
2023-04-08,0.0,1,0,0.042466901242733,1,Manchester City,586961,0,Roméo Lavia,2022,4,82,MC,18499,0.042466901242733,0.0,0,Southampton,0.0,0
2023-04-02,0.017530400305986404,0,0,0.0807844027876854,1,Southampton,585280,0,Roméo Lavia,2022,0,90,MC,18491,0.0,0.0807844027876854,1,West Ham,0.017530400305986404,0
2023-03-18,0.0,2,0,0.776095986366272,3,Tottenham,583079,0,Roméo Lavia,2022,3,90,MC,18480,0.03952749818563461,0.7365689873695374,0,Southampton,0.0,0
2023-03-15,0.0,0,0,0.0,0,Brentford,582496,0,Roméo Lavia,2022,2,29,Sub,18265,0.0,0.0,0,Southampton,0.0,0
2023-03-12,0.05045809969305992,1,0,0.04779079928994179,0,Southampton,581797,0,Roméo Lavia,2022,0,90,DMC,18468,0.023970000445842743,0.0,2,Manchester United,0.05045809969305992,0
2023-03-04,0.0,2,0,0.4249109923839569,1,Leicester,579759,0,Roméo Lavia,2022,0,90,DMC,18460,0.09710489958524704,0.3278059959411621,0,Southampton,0.0,0
2023-02-25,0.0,0,0,0.04879720136523247,1,Southampton,577846,0,Roméo Lavia,2022,0,90,MC,18446,0.0,0.04879720136523247,0,Leeds,0.0,0
2023-02-18,0.0,0,0,0.0,0,Southampton,576405,0,Roméo Lavia,2022,1,90,MC,18435,0.0,0.0,0,Chelsea,0.0,0
2023-02-11,0.0,1,0,0.1163880005478859,1,Wolverhampton Wanderers,574816,0,Roméo Lavia,2022,2,90,MC,18430,0.04160510003566742,0.07478330284357071,0,Southampton,0.0,0
2023-02-04,0.0,0,0,0.13028599321842194,3,Southampton,573234,0,Roméo Lavia,2022,0,68,DMC,18413,0.0,0.13028599321842194,0,Brentford,0.0,0
2023-01-21,0.014009700156748295,1,0,0.0,0,Aston Villa,570207,0,Roméo Lavia,2022,1,64,DMC,18410,0.014894999563694,0.0,1,Southampton,0.014009700156748295,0
2023-01-14,0.0,0,0,0.0,1,Southampton,568880,0,Roméo Lavia,2022,2,63,MC,18396,0.0,0.0,0,Everton,0.0,0
2023-01-04,0.0,0,0,0.0,0,Nottingham Forest,567355,0,Roméo Lavia,2022,1,67,DMC,18391,0.0,0.0,0,Southampton,0.0,0
2022-12-31,0.0,0,0,0.0,2,Southampton,566437,0,Roméo Lavia,2022,1,1,Sub,18374,0.0,0.0,0,Fulham,0.0,0
2022-11-12,0.0,1,0,0.6486859917640686,3,Southampton,564554,0,Roméo Lavia,2022,1,84,DMC,18355,0.06183990091085434,0.5868459939956665,0,Liverpool,0.0,0
2022-11-06,0.0,0,0,0.4955739974975586,1,Newcastle United,562633,0,Roméo Lavia,2022,4,57,Sub,18348,0.0,0.4955739974975586,0,Southampton,0.0,0
2022-08-30,0.03640139847993851,0,1,0.06591100245714188,2,Chelsea,545952,0,Roméo Lavia,2022,1,62,DMC,18244,0.0,0.06591100245714188,1,Southampton,0.03640139847993851,1
2022-08-27,0.021625500172376633,1,0,0.3575040102005005,0,Manchester United,544158,0,Roméo Lavia,2022,1,90,DMC,18232,0.010572999715805054,0.3253050148487091,1,Southampton,0.021625500172376633,0
2022-08-20,0.013926399871706963,0,0,0.0,1,Southampton,542387,0,Roméo Lavia,2022,2,90,DMC,18226,0.0,0.0,1,Leicester,0.013926399871706963,0
2022-08-13,0.0,1,0,0.720695972442627,2,Leeds,540591,0,Roméo Lavia,2022,2,90,MC,18215,0.018007399514317513,0.702688992023468,0,Southampton,0.0,0
2022-08-06,0.018676400184631348,0,0,0.0,4,Southampton,539504,0,Roméo Lavia,2022,1,90,MC,18207,0.0,0.0,1,Tottenham,0.018676400184631348,0
